VCD info: dumpfile test.vcd opened for output.
pc: 0xxxxx ; opcode: xxxxxxx ; funct3: xxx ; funct7: xxxxxxx, a: xxxxxxxx ; b: xxxxxxxx ; op: x ; alu_out: xxxxxxxx ; ra: xxxxxxxx ; sp: xxxxxxxx ; a0: xxxxxxxx ; mem_rd_data: xxxxxxxx ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x044c ; opcode: 0000011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0450 ; opcode: 0000011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 7fb8 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0450 ; opcode: 0000011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 00000000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0450 ; opcode: 0000011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0450 ; opcode: 0010011 ; funct3: 000 ; funct7: 0100010, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: fffffba0 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0454 ; opcode: 0010011 ; funct3: 000 ; funct7: 0100010, a: fffffba0 ; b: 00000440 ; op: 0 ; alu_out: ffffffe0 ; ra: 00000098 ; sp: fffffba0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0454 ; opcode: 0010011 ; funct3: 000 ; funct7: 0100010, a: fffffba0 ; b: 00000440 ; op: 0 ; alu_out: ffffffe0 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0454 ; opcode: 1100111 ; funct3: 000 ; funct7: 0000000, a: fffffba0 ; b: 00000440 ; op: 0 ; alu_out: ffffffe0 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0098 ; opcode: 1100111 ; funct3: 000 ; funct7: 0000000, a: 00000098 ; b: 00000000 ; op: 1 ; alu_out: 00000098 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0098 ; opcode: 0110111 ; funct3: 000 ; funct7: 0000000, a: 00000098 ; b: 00000000 ; op: 1 ; alu_out: 00000098 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x009c ; opcode: 0110111 ; funct3: 000 ; funct7: 0000000, a: 00000098 ; b: 00000000 ; op: 1 ; alu_out: 00000098 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00000000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x009c ; opcode: 0110111 ; funct3: 000 ; funct7: 0000000, a: 00000098 ; b: 00000000 ; op: 1 ; alu_out: 00000098 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x009c ; opcode: 0010011 ; funct3: 000 ; funct7: 0000011, a: 00000098 ; b: 00000000 ; op: 1 ; alu_out: 00000098 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x00a0 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000011, a: 00008000 ; b: 00000078 ; op: 0 ; alu_out: 00008078 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008000 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x00a0 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000011, a: 00008000 ; b: 00000078 ; op: 0 ; alu_out: 00008078 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x00a0 ; opcode: 1101111 ; funct3: 000 ; funct7: 0011010, a: 00008000 ; b: 00000078 ; op: 0 ; alu_out: 00008078 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f0 ; opcode: 1101111 ; funct3: 000 ; funct7: 0011010, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 00000098 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f0 ; opcode: 1101111 ; funct3: 000 ; funct7: 0011010, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 000000a4 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f0 ; opcode: 0010011 ; funct3: 000 ; funct7: 1011110, a: 00000000 ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 000000a4 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f4 ; opcode: 0010011 ; funct3: 000 ; funct7: 1011110, a: ffffffe0 ; b: fffffbc0 ; op: 0 ; alu_out: fffffba0 ; ra: 000000a4 ; sp: ffffffe0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f4 ; opcode: 0010011 ; funct3: 000 ; funct7: 1011110, a: ffffffe0 ; b: fffffbc0 ; op: 0 ; alu_out: fffffba0 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x03f4 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100000, a: ffffffe0 ; b: fffffbc0 ; op: 0 ; alu_out: 00000000 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x03f8 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 000000a4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fbc ; mem_wr_data: 000000a4 ; load_out: 78030000
pc: 0x03f8 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 000000a4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x03fc ; opcode: 0100011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fb8 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x03fc ; opcode: 0100011 ; funct3: 010 ; funct7: 0100000, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x03fc ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0400 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000020 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fc4 ; mem_wr_data: 00000020 ; load_out: 78030000
pc: 0x0400 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000020 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0404 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: ffffffc4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fc8 ; mem_wr_data: ffffffc4 ; load_out: 78030000
pc: 0x0404 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: ffffffc4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0408 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fcc ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0408 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x040c ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fd0 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x040c ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0410 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fd4 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0410 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0414 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fd8 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0414 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0418 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7fdc ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0418 ; opcode: 0100011 ; funct3: 010 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0418 ; opcode: 0010011 ; funct3: 000 ; funct7: 0100001, a: fffffba0 ; b: 00000000 ; op: 1 ; alu_out: fffffba0 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x041c ; opcode: 0010011 ; funct3: 000 ; funct7: 0100001, a: fffffba0 ; b: 00000424 ; op: 0 ; alu_out: ffffffc4 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x041c ; opcode: 0100011 ; funct3: 010 ; funct7: 0000000, a: fffffba0 ; b: 00000424 ; op: 0 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0420 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000000, a: fffffba0 ; b: ffffffc4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 7bac ; mem_wr_data: ffffffc4 ; load_out: 78030000
pc: 0x0420 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000000, a: fffffba0 ; b: ffffffc4 ; op: 1 ; alu_out: 00000001 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0420 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: fffffba0 ; b: ffffffc4 ; op: 1 ; alu_out: fffffb64 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0424 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: 00008078 ; b: 00000000 ; op: 0 ; alu_out: 00008078 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0428 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: fffffba0 ; b: 00000010 ; op: 0 ; alu_out: fffffbb0 ; ra: 000000a4 ; sp: fffffba0 ; a0: 00008078 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0428 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: fffffba0 ; b: 00000010 ; op: 0 ; alu_out: fffffbb0 ; ra: 000000a4 ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0428 ; opcode: 1101111 ; funct3: 111 ; funct7: 1101000, a: fffffba0 ; b: 00000010 ; op: 0 ; alu_out: 00000000 ; ra: 000000a4 ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x013c ; opcode: 1101111 ; funct3: 111 ; funct7: 1101000, a: xxxxxxxx ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 000000a4 ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x013c ; opcode: 1101111 ; funct3: 111 ; funct7: 1101000, a: xxxxxxxx ; b: 00000000 ; op: 1 ; alu_out: 00000000 ; ra: 0000042c ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x013c ; opcode: 0010011 ; funct3: 000 ; funct7: 1111010, a: xxxxxxxx ; b: 00000000 ; op: 1 ; alu_out: xxxxxxxx ; ra: 0000042c ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0140 ; opcode: 0010011 ; funct3: 000 ; funct7: 1111010, a: fffffba0 ; b: ffffff50 ; op: 0 ; alu_out: fffffaf0 ; ra: 0000042c ; sp: fffffba0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0140 ; opcode: 0010011 ; funct3: 000 ; funct7: 1111010, a: fffffba0 ; b: ffffff50 ; op: 0 ; alu_out: fffffaf0 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0140 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffba0 ; b: ffffff50 ; op: 0 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0144 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 0000042c ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b9c ; mem_wr_data: 0000042c ; load_out: 78030000
pc: 0x0144 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 0000042c ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0148 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b98 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0148 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x014c ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b94 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x014c ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0150 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b90 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0150 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000101, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0150 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0154 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b8c ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0154 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0158 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b88 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0158 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x015c ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b84 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x015c ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0160 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b80 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0160 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0164 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 7b7c ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0164 ; opcode: 0100011 ; funct3: 010 ; funct7: 0000100, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: 00000001 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 78030000
pc: 0x0164 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: fffffaf0 ; b: 00000000 ; op: 1 ; alu_out: fffffaf0 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0168 ; opcode: 0010011 ; funct3: 000 ; funct7: 0000000, a: fffffbb0 ; b: 00000000 ; op: 0 ; alu_out: fffffbb0 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0168 ; opcode: 0000011 ; funct3: 100 ; funct7: 0000000, a: fffffbb0 ; b: 00000000 ; op: 0 ; alu_out: fffffbb0 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x016c ; opcode: 0000011 ; funct3: 100 ; funct7: 0000000, a: 00008078 ; b: 00000000 ; op: 1 ; alu_out: 00008078 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0078 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x016c ; opcode: 0000011 ; funct3: 100 ; funct7: 0000000, a: 00008078 ; b: 00000000 ; op: 1 ; alu_out: 00008078 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 61726520 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000020
pc: 0x016c ; opcode: 0000011 ; funct3: 100 ; funct7: 0000000, a: 00008078 ; b: 00000000 ; op: 1 ; alu_out: 00008078 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x016c ; opcode: 1100011 ; funct3: 000 ; funct7: 0010011, a: 00008078 ; b: 00000000 ; op: 1 ; alu_out: 00008078 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
pc: 0x0170 ; opcode: 1100011 ; funct3: 000 ; funct7: 0010011, a: 00000020 ; b: 00000000 ; op: 1 ; alu_out: 00000020 ; ra: 0000042c ; sp: fffffaf0 ; a0: fffffbb0 ; mem_rd_data: 78030000 ; mem_addr: 0000 ; mem_wr_data: 00000000 ; load_out: 00000000
